session_id,model,testgen_model,oracle,rounds,units_analyzed,functions_verified,cost_usd,tokens,incoherent_oracles_dropped,static_findings,execution_only_bugs,verification_gap_rate,confirmed,confirmed_static,confirmed_reliability_gap,refuted,confirmation_rate,inconclusive,not_execution_testable,verified_fixed,not_fixed,verified_fix_rate
20260708_122749_5bfe40ee,gpt-oss-120b,gpt-oss-120b,correctness,5,5,0,0.0,0,0,0,0,,0,,,0,,0,0,,,
20260708_122749_bf8985ad,gpt-oss-120b,gpt-oss-120b,correctness,5,5,0,0.0,0,0,0,0,,0,,,0,,0,0,,,
20260708_122821_24518472,gpt-oss-120b,gpt-oss-120b,correctness,5,4,0,0.0,0,0,0,0,,0,,,0,,0,0,,,
20260708_122749_2b61c659,gpt-oss-120b,gpt-oss-120b,correctness,5,5,1,0.0,16131,0,1,1,1.0,1,,,0,1.0,0,0,1,0,1.0
20260708_123005_3ce756f6,gpt-oss-120b,gpt-oss-120b,correctness,5,5,0,0.0,0,0,0,0,,0,,,0,,0,0,,,
20260708_122850_21a102e8,gpt-oss-120b,gpt-oss-120b,correctness,5,12,1,0.0,18617,0,2,0,,0,,,0,,1,0,,,
20260708_122821_6be9d3dc,gpt-oss-120b,gpt-oss-120b,correctness,5,11,3,0.0,38220,0,1,0,,0,,,0,,0,0,,,
20260708_123212_004e4afa,gpt-oss-120b,gpt-oss-120b,correctness,5,16,0,0.0,0,0,0,0,,0,,,0,,0,0,,,
20260708_123354_94fbefeb,gpt-oss-120b,gpt-oss-120b,correctness,5,15,0,0.0,0,0,0,0,,0,,,0,,0,0,,,
20260708_122749_0d97b43b,gpt-oss-120b,gpt-oss-120b,correctness,5,4,6,0.0,108086,0,2,0,,0,,,0,,0,0,,,
20260708_123142_10d7d911,gpt-oss-120b,gpt-oss-120b,correctness,5,2,4,0.0,59808,0,0,0,,0,,,0,,0,0,,,
20260708_123541_35235b45,gpt-oss-120b,gpt-oss-120b,correctness,5,5,1,0.0,22785,0,0,0,,0,,,0,,0,0,,,
20260708_123530_ed35bc44,gpt-oss-120b,gpt-oss-120b,correctness,5,6,1,0.0,28525,0,0,1,1.0,1,,,0,1.0,0,0,0,1,0.0
20260708_123037_2766e004,gpt-oss-120b,gpt-oss-120b,correctness,5,11,8,0.0,133575,0,1,0,,0,,,0,,0,0,,,
20260708_124112_65c1f5d0,gpt-oss-120b,gpt-oss-120b,correctness,5,9,0,0.0,0,0,0,0,,0,,,0,,0,0,,,
20260708_123808_a5ed7c77,gpt-oss-120b,gpt-oss-120b,correctness,5,21,3,0.0,39694,0,2,0,0.0,0,,,0,,0,2,,,
20260708_123605_51f31b7f,gpt-oss-120b,gpt-oss-120b,correctness,5,46,4,0.0,49627,0,1,0,,0,,,0,,0,0,,,
20260708_123740_5a419233,gpt-oss-120b,gpt-oss-120b,correctness,5,46,4,0.0,43553,0,0,0,,0,,,0,,0,0,,,
20260708_124348_6a6fb736,gpt-oss-120b,gpt-oss-120b,correctness,5,16,0,0.0,0,0,0,0,,0,,,0,,0,0,,,
20260708_124300_2e467a9a,gpt-oss-120b,gpt-oss-120b,correctness,5,38,0,0.0,0,0,0,0,,0,,,0,,0,0,,,
20260708_124443_4d7dd670,gpt-oss-120b,gpt-oss-120b,correctness,5,17,1,0.0,12070,0,1,0,,0,,,0,,0,0,,,
20260708_124530_864141f8,gpt-oss-120b,gpt-oss-120b,correctness,5,15,2,0.0,21404,0,2,0,,0,,,0,,0,0,,,
20260708_124209_e4584346,gpt-oss-120b,gpt-oss-120b,correctness,5,46,4,0.0,52436,0,0,3,1.0,3,,,0,1.0,0,0,3,0,1.0
20260708_124818_ac8dcc0f,gpt-oss-120b,gpt-oss-120b,correctness,5,17,6,0.0,95276,0,3,0,,0,,,0,,1,1,,,
20260708_125622_b04e0f83,gpt-oss-120b,gpt-oss-120b,correctness,5,13,0,0.0,0,0,0,0,,0,,,0,,0,0,,,
20260708_124709_80a13220,gpt-oss-120b,gpt-oss-120b,correctness,5,29,6,0.0,126450,0,6,0,,0,,,0,,0,4,,,
20260708_125042_e3e5de99,gpt-oss-120b,gpt-oss-120b,correctness,5,85,0,0.0,0,0,0,0,,0,,,0,,0,0,,,
20260708_125940_10f4c431,gpt-oss-120b,gpt-oss-120b,correctness,5,3,1,0.0,9737,0,3,0,,0,,,0,,0,0,,,
20260708_125744_f10f5a4a,gpt-oss-120b,gpt-oss-120b,correctness,5,9,4,0.0,87933,0,0,4,1.0,4,,,0,1.0,0,0,3,1,0.75
20260708_130729_0b928384,gpt-oss-120b,gpt-oss-120b,correctness,5,25,1,0.0,19893,0,0,1,1.0,1,,,0,1.0,0,0,0,1,0.0
20260708_125856_af5d0e7b,gpt-oss-120b,gpt-oss-120b,correctness,5,81,2,0.0,52739,0,0,2,1.0,2,,,0,1.0,0,0,2,0,1.0
20260708_131139_6071391f,gpt-oss-120b,gpt-oss-120b,correctness,5,23,0,0.0,0,0,0,0,,0,,,0,,0,0,,,
20260708_124702_15bd4fc4,gpt-oss-120b,gpt-oss-120b,correctness,5,34,25,0.0,357267,0,8,3,0.75,4,,,0,1.0,0,3,1,2,0.3333333333333333
20260708_130043_3cc59031,gpt-oss-120b,gpt-oss-120b,correctness,5,103,2,0.0,48706,0,0,2,1.0,2,,,0,1.0,0,0,1,1,0.5
20260708_131337_9d964a03,gpt-oss-120b,gpt-oss-120b,correctness,5,40,0,0.0,0,0,0,0,,0,,,0,,0,0,,,
20260708_131405_fa6b31c2,gpt-oss-120b,gpt-oss-120b,correctness,5,37,0,0.0,0,0,0,0,,0,,,0,,0,0,,,
20260708_131700_7a0fea72,gpt-oss-120b,gpt-oss-120b,correctness,5,16,0,0.0,0,0,0,0,,0,,,0,,0,0,,,
20260708_131801_9fea34a1,gpt-oss-120b,gpt-oss-120b,correctness,5,17,0,0.0,0,0,0,0,,0,,,0,,0,0,,,
20260708_131728_3bd5e686,gpt-oss-120b,gpt-oss-120b,correctness,5,52,0,0.0,0,0,0,0,,0,,,0,,0,0,,,
20260708_131841_259deb36,gpt-oss-120b,gpt-oss-120b,correctness,5,10,5,0.0,58813,0,1,0,,0,,,0,,0,0,,,
20260708_132259_ee7016bd,gpt-oss-120b,gpt-oss-120b,correctness,5,7,0,0.0,0,0,0,0,,0,,,0,,0,0,,,
20260708_132344_2db8b995,gpt-oss-120b,gpt-oss-120b,correctness,5,5,0,0.0,0,0,0,0,,0,,,0,,0,0,,,
20260708_131752_1600f881,gpt-oss-120b,gpt-oss-120b,correctness,5,55,1,0.0,18363,0,1,0,,0,,,0,,0,0,,,
20260708_132344_a85a254a,gpt-oss-120b,gpt-oss-120b,correctness,5,8,1,0.0,13593,0,1,0,,0,,,0,,0,0,,,
20260708_132524_844af377,gpt-oss-120b,gpt-oss-120b,correctness,5,8,0,0.0,0,0,0,0,,0,,,0,,0,0,,,
20260708_132615_ebe320d3,gpt-oss-120b,gpt-oss-120b,correctness,5,14,0,0.0,0,0,0,0,,0,,,0,,0,0,,,
20260708_132500_9bf1a5a1,gpt-oss-120b,gpt-oss-120b,correctness,5,11,2,0.0,27673,0,0,0,,0,,,0,,0,0,,,
20260708_132756_f911424d,gpt-oss-120b,gpt-oss-120b,correctness,5,15,0,0.0,0,0,0,0,,0,,,0,,0,0,,,
20260708_132416_b75913ce,gpt-oss-120b,gpt-oss-120b,correctness,5,39,1,0.0,18824,0,0,0,,0,,,0,,0,0,,,
20260708_132941_827e1bef,gpt-oss-120b,gpt-oss-120b,correctness,5,22,0,0.0,0,0,0,0,,0,,,0,,0,0,,,
20260708_133159_c6d65804,gpt-oss-120b,gpt-oss-120b,correctness,5,9,0,0.0,0,0,0,0,,0,,,0,,0,0,,,
20260708_131948_52303ed6,gpt-oss-120b,gpt-oss-120b,correctness,5,40,11,0.0,150049,0,4,0,,0,,,0,,3,0,,,
20260708_133301_689a69c3,gpt-oss-120b,gpt-oss-120b,correctness,5,47,1,0.0,12496,0,3,0,,0,,,0,,0,0,,,
20260708_132930_62274645,gpt-oss-120b,gpt-oss-120b,correctness,5,23,5,0.0,87805,0,0,5,1.0,5,,,0,1.0,0,0,2,3,0.4
